"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1462643591310835716","Mon Nov 22 04:46:21 +0000 2021","5","Selama ibu menjabat sudah berapa juta pohon yg ibu beri ijin untuk ditebang..? lalu sintang Jambi kampar Lampung Sumbar Sumut banjir bandang.","1462643591310835716","","","in","𝘽𝙖𝙩𝙖𝙢 ↔️𝙅𝙖𝙠𝙖𝙧𝙩𝙖","0","0","1","https://twitter.com/InayahRasyid/status/1462643591310835716","2645700810","InayahRasyid"
"1457371602442768386","Sun Nov 07 15:37:21 +0000 2021","0","Sumbar Waspada Banjir/Bandang Peringatan Dini BMKG Berlaku Mulai Besok https://t.co/ikskLenFGB","1457371602442768386","","","in","Padang","0","0","0","https://twitter.com/donny_waldi/status/1457371602442768386","1218823183","donny_waldi"
"1457371598986563592","Sun Nov 07 15:37:20 +0000 2021","0","Sumbar Waspada Banjir/Bandang Peringatan Dini BMKG Berlaku Mulai Besok https://t.co/xqk17SEK67","1457371598986563592","","","in","Sumatera Barat, Indonesia","0","0","0","https://twitter.com/ScientiaID/status/1457371598986563592","857923196","ScientiaID"
"1456619811023245322","Fri Nov 05 13:50:00 +0000 2021","0","Kejagung Tangkap Buron Kasus Korupsi Dana Bencana Banjir Bandang dan Longsor di Sumbar https://t.co/Ks36egB2eB","1456619811023245322","","","in","Jakarta, Indonesia","0","0","0","https://twitter.com/inewsdotid/status/1456619811023245322","944180887171743745","inewsdotid"
"1455549450726694914","Tue Nov 02 14:56:46 +0000 2021","3","Banjir Bandang Surut 2 Rumah di Dharmasraya Sumbar Dilaporkan Rusak #LengkapCepatBeritanya #BeritaTerkini #BeritaDaerah . https://t.co/Lk5kwb4v3c","1455549450726694914","","","in","Jakarta","0","0","1","https://twitter.com/okezonenews/status/1455549450726694914","47274731","okezonenews"
"1447594054066212874","Tue Oct 12 01:56:26 +0000 2021","0","@bebeeen__ Kalo luar sumbar namanya bukan galodo tapi banjir bandang. Kalo di jawabarat namanya banjir bandung","1447742927770296326","","prabrorosoriye","in","Bandung","0","1","0","https://twitter.com/rachmatRD/status/1447742927770296326","600043250","rachmatRD"
"1447140131345887236","Sun Oct 10 10:01:08 +0000 2021","0","Status siaga darurat bencana banjir banjir bandang dan tanah longsor di Sumbar berlangsung selama 107 hari ditetapkan sejak 15 September sampai 31 Desember 2021. https://t.co/5YeAzQMKGN","1447140131345887236","","","in","Jakarta - Indonesia","0","0","0","https://twitter.com/mediaindonesia/status/1447140131345887236","68930552","mediaindonesia"
"1446792559041425410","Sat Oct 09 11:00:00 +0000 2021","4","Hujan intensitas sedang dan tinggi diprakirakan akan melanda wilayah Sumbar hingga November atau Desember 2021. Warga dan pemerintah daerah diminta siaga darurat bencana banjir banjir bandang dan longsor. #Nusantara #AdadiKompas @jolasastra https://t.co/iFz2SDX1xA","1446792559041425410","","","in","Palmerah, Jakarta","0","0","1","https://twitter.com/hariankompas/status/1446792559041425410","255866913","hariankompas"
"1443020464289320962","Wed Sep 29 01:11:03 +0000 2021","0","BMKG: 8 Daerah di Sumbar Waspada Hujan Lebat dan Banjir Bandang via @langgamid https://t.co/7KvGJHfbOA","1443020464289320962","","","in","Sumatera Barat, Indonesia","0","0","0","https://twitter.com/LanggamID/status/1443020464289320962","1077993423108370432","LanggamID"
"1426863879729016832","Sun Aug 15 11:10:33 +0000 2021","0","Peringatan BMKG: Riau Sumbar Jambi Berpotensi Hujat Lebat dan Banjir Bandang https://t.co/S0xkhmcOKc https://t.co/eA10TYEZZm","1426863879729016832","https://pbs.twimg.com/media/E809IyxUcAMQz5C.jpg","","in","South Borneo, Indonesia","0","0","0","https://twitter.com/AhmadNorMaulana/status/1426863879729016832","2251383210","AhmadNorMaulana"
"1426863120752906246","Sun Aug 15 11:07:32 +0000 2021","3","Peringatan BMKG: Riau Sumbar Jambi Berpotensi Hujat Lebat dan Banjir Bandang: Badan Meteorologi Klimatologi dan Geofisika (BMKG) mengingatkan tiga wilayah di Indonesia berpotensi mengalami bencana hidrometeorologi berupa banjir dan banjir bandang. https://t.co/zDyF9j9Fyc","1426863120752906246","","","in","Indonesia","0","0","0","https://twitter.com/merdekadotcom/status/1426863120752906246","456426648","merdekadotcom"
